lad_id,lad_ons,name,rgn_code,rgn_name,updated_at,tot_shops,R00,R01,R02,R03,R04,R05,R07,R08,R09,R11,R12,R13
857,E06000022,Bath and North East Somerset,E12000009,South West,2019-03-22,1705,0,12,19,109,206,1038,0,0,321,0,0,0
858,E06000024,North Somerset,E12000009,South West,2019-03-23,971,4,31,12,89,218,612,0,0,5,0,0,0
859,E06000001,Hartlepool,E12000001,North East,2019-03-21,736,1,2,1,32,80,579,4,0,37,0,0,0
860,E06000003,Redcar and Cleveland,E12000001,North East,2019-03-21,1025,0,15,12,38,81,810,20,0,49,0,0,0
861,E06000002,Middlesbrough,E12000001,North East,2019-03-19,1135,8,13,29,64,100,743,113,0,65,0,0,0
862,E06000004,Stockton On Tees,E12000001,North East,2019-03-19,1481,2,11,6,56,135,1139,14,0,118,0,0,0
863,E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,2019-03-23,2948,3,38,41,245,422,2080,1,0,117,0,0,0
864,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,2019-03-22,1370,7,35,31,109,238,857,0,0,93,0,0,0
865,E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,2019-03-21,1353,1,6,16,41,96,1114,0,0,79,0,0,0
866,E06000010,Hull City,E12000003,Yorkshire and The Humber,2019-03-23,2094,15,63,53,156,256,1309,105,0,137,0,0,0
